task,model,split,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
is_clone,logistic_regression,val,0.8706574024585783,0.8532624215576833,0.8814285350253548,0.8620640282316929,0.8846569666671065,0.8706574024585783,0.8731231672260358
is_clone,logistic_regression,test,0.8703604088219473,0.8524028709627087,0.8795048276396913,0.8612645755046364,0.883150677952459,0.8703604088219473,0.8727490205124174
is_clone,decision_tree,val,0.8931052912880812,0.877904868355688,0.8876984430344266,0.8823794184727807,0.8951741579253824,0.8931052912880812,0.89378870973295
is_clone,decision_tree,test,0.8983324367939752,0.8833126924074116,0.8936516861194048,0.8880257888924831,0.9004414711101152,0.8983324367939752,0.8990085821350305
is_clone,mlp_gridsearch,val,0.8786745056119722,0.8608239212279177,0.8809876920724715,0.8686869373930438,0.8857153393597431,0.8786745056119722,0.8803197445627647
is_clone,mlp_gridsearch,test,0.8838084991931145,0.866161212204738,0.8846181188361963,0.8736548786842164,0.889574058738986,0.8838084991931145,0.8852342447674191
clone_type,logistic_regression,val,0.7681632653061224,0.7425381102569157,0.7796054085104502,0.748689632056772,0.8047338383411713,0.7681632653061224,0.7762725202076115
clone_type,logistic_regression,test,0.7564516129032258,0.7408194034742708,0.7831368015414258,0.7413097540757115,0.8104537909305252,0.7564516129032258,0.7660414568273182
clone_type,decision_tree,val,0.7755102040816326,0.7446108352926065,0.7764902125403208,0.752705284894523,0.8017924258102296,0.7755102040816326,0.7823148977100445
clone_type,decision_tree,test,0.7653225806451613,0.7348693707872487,0.7668362235067437,0.742249594452409,0.7940839455109677,0.7653225806451613,0.7727233498013272
clone_type,mlp_gridsearch,val,0.8163265306122449,0.788854551937746,0.76079271795325,0.772027046587126,0.8110806251367124,0.8163265306122449,0.811650473965149
clone_type,mlp_gridsearch,test,0.8104838709677419,0.7769662921348315,0.7659730250481696,0.7709794675311916,0.8073803914461761,0.8104838709677419,0.8085661814805307
